City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
263,Valparaíso,40,CL,1612480230,100,-33.0393,-71.6273,64.0,5.75
264,Faanui,18,PF,1612480000,70,-16.4833,-151.75,80.91,6.71
265,Kodīnar,0,IN,1612480231,41,20.7903,70.7031,67.14,10.33
266,Hambantota,97,LK,1612480231,76,6.1241,81.1185,75.43,16.28
267,Richards Bay,100,ZA,1612480022,90,-28.783,32.0377,75.11,9.19
268,Xiuyan,8,CN,1612480231,95,40.2928,123.2744,14.5,2.17
269,Batagay,100,RU,1612480152,80,67.6333,134.6333,-39.12,1.07
270,Honningsvåg,100,NO,1612480231,90,70.9821,25.9704,30.87,17.81
271,Chicama,98,PE,1612479989,83,-7.8447,-79.1469,71.6,9.22
272,Khuzhir,97,RU,1612480232,90,53.1939,107.3397,11.61,6.98
273,Batoş,90,RO,1612480232,71,46.8833,24.6667,46.4,5.75
274,Vao,27,NC,1612480232,86,-22.6667,167.4833,78.73,21.34
275,Bilma,0,NE,1612479994,30,18.6853,12.9164,61.56,6.08
276,Coffs Harbour,75,AU,1612480233,73,-30.3,153.1333,79.0,2.3
277,Banjar,20,ID,1612480039,89,-8.19,114.9675,78.8,8.05
278,Shyryayeve,59,UA,1612480210,91,47.3805,30.1964,33.04,19.28
279,Khandagayty,96,RU,1612480233,90,50.7333,92.05,2.05,0.09
280,Suntar,82,RU,1612480233,83,62.1444,117.6319,-29.61,3.36
281,Ahome,40,MX,1612480233,22,25.9167,-109.1833,81.0,17.27
282,Tamandaré,5,BR,1612480233,79,-8.7597,-35.1047,79.05,10.87
283,Kungurtug,100,RU,1612480170,91,50.5994,97.5228,13.08,3.76
284,Bridlington,100,GB,1612480234,89,54.0831,-0.1919,42.01,11.99
285,San Vito,56,CR,1612480234,64,8.8208,-82.9709,68.0,5.99
286,Tigzirt,50,DZ,1612480234,45,36.8886,4.1198,62.06,13.51
287,Asadābād,94,IR,1612480234,60,34.7824,48.1185,44.38,3.13
288,Mt. Pleasant,1,US,1612480092,76,32.7941,-79.8626,51.01,9.26
289,Retalhuleu,75,GT,1612480234,74,14.5333,-91.6833,82.4,5.12
290,Ternate,100,ID,1612480234,77,0.8,127.4,80.6,3.8
291,Khovd,79,MN,1612480039,81,48.0056,91.6419,17.92,6.58
292,São Filipe,90,CV,1612480235,81,14.8961,-24.4956,71.08,9.98
293,Frohnleiten,100,AT,1612480235,70,47.2667,15.3167,42.8,4.61
294,Gardez,0,AF,1612480235,82,33.5974,69.2259,28.98,2.48
295,Praia da Vitória,75,PT,1612480235,76,38.7333,-27.0667,53.6,22.53
